uri,agrovoc_id,label_en,label_pt,label_es
http://aims.fao.org/aos/agrovoc/c_14477,c_14477,soybeans,soja,Soja
http://aims.fao.org/aos/agrovoc/c_9786,c_9786,chicory,chicória,Achicoria
http://aims.fao.org/aos/agrovoc/c_3376,c_3376,leaf vegetables,hortaliça de folha,Hortaliza de hoja
http://aims.fao.org/aos/agrovoc/c_12151,c_12151,lettuces,alface,Lechuga
http://aims.fao.org/aos/agrovoc/c_779f4094,c_779f4094,head lettuce,,Lechuga de cabeza
http://aims.fao.org/aos/agrovoc/c_934c0772,c_934c0772,cos lettuce,,Lechuga cos
http://aims.fao.org/aos/agrovoc/c_53379b65,c_53379b65,leaf lettuce,,Lechuga de hoja
http://aims.fao.org/aos/agrovoc/c_10596,c_10596,endives,endívia,Endibia
http://aims.fao.org/aos/agrovoc/c_1127,c_1127,Brussels sprouts,couve-de-bruxelas,Col de Bruselas
http://aims.fao.org/aos/agrovoc/c_1173,c_1173,cabbages,couve-repolho,Repollo
http://aims.fao.org/aos/agrovoc/c_4070,c_4070,kales,couve,Col
http://aims.fao.org/aos/agrovoc/c_1bd94c09,c_1bd94c09,curled kitchen kale,,Col crespa
http://aims.fao.org/aos/agrovoc/c_9804,c_9804,chinese cabbages,couve-chinesa,Col china
http://aims.fao.org/aos/agrovoc/c_14508,c_14508,spinach,espinafre,Espinaca
http://aims.fao.org/aos/agrovoc/c_15275,c_15275,watercress,agrião,Berro de agua
http://aims.fao.org/aos/agrovoc/c_331477,c_331477,taioba,taioba,Taioba
http://aims.fao.org/aos/agrovoc/c_7303,c_7303,spinach beet,beterraba folhosa,Remolacha de hoja
http://aims.fao.org/aos/agrovoc/c_b9d885f6,c_b9d885f6,red cabbages,,Col roja
http://aims.fao.org/aos/agrovoc/c_c32f344d,c_c32f344d,radicchio,radicchio,Radicchio
http://aims.fao.org/aos/agrovoc/c_5f3deb25,c_5f3deb25,Chinese kale,,Brécol chino
http://aims.fao.org/aos/agrovoc/c_5c9e76bc,c_5c9e76bc,rocket,Rúcula,Rúcula
http://aims.fao.org/aos/agrovoc/c_3f9d5fa9,c_3f9d5fa9,microgreens,,Microverde
http://aims.fao.org/aos/agrovoc/c_bee45268,c_bee45268,lamb's lettuce,canónigos,Hierba del canónigo
http://aims.fao.org/aos/agrovoc/c_d83a24a2,c_d83a24a2,amaranth leaves,,Hoja de amaranto
http://aims.fao.org/aos/agrovoc/c_7552,c_7552,sweet corn,milho doce,Maíz dulce
http://aims.fao.org/aos/agrovoc/c_3129,c_3129,fruit vegetables,fruto hortícola,Hortaliza de fruto
