cultura,ontology,traitDbId,traitId,traitName,defaultValue,n_observation_variables,observation_variables
Brassica,CO_348,CO_348:2000001,CO_348:2000001,Plant stand,,1,CO_348:1000001
Brassica,CO_348,CO_348:2000002,CO_348:2000002,Regularity of plant stand,,1,CO_348:1000002
Brassica,CO_348,CO_348:2000003,CO_348:2000003,Biomass yield,,1,CO_348:1000003
Brassica,CO_348,CO_348:2100125,CO_348:2100125,Plant height,,2,CO_348:1000004; CO_348:1100101
Brassica,CO_348,CO_348:2000004,CO_348:2000004,Pod shattering,,1,CO_348:1000005
Brassica,CO_348,CO_348:2000005,CO_348:2000005,First inter-node time (BBCH 31),,1,CO_348:1000006
Brassica,CO_348,CO_348:2000006,CO_348:2000006,First flowers time (BBCH 60),,1,CO_348:1000007
Brassica,CO_348,CO_348:2000007,CO_348:2000007,Beginning of flowering time (BBCH 61),,1,CO_348:1000008
Brassica,CO_348,CO_348:2000008,CO_348:2000008,Flowering time (BBCH 62-65),,1,CO_348:1000009
Brassica,CO_348,CO_348:2000009,CO_348:2000009,End of flowering time (BBCH 69),,1,CO_348:1000010
Brassica,CO_348,CO_348:2000010,CO_348:2000010,Beginning of pod development time (BBCH 71),,1,CO_348:1000011
Brassica,CO_348,CO_348:2000011,CO_348:2000011,Early pod development time (BBCH 73),,1,CO_348:1000012
Brassica,CO_348,CO_348:2000012,CO_348:2000012,Pod development time (BBCH 72-79),,1,CO_348:1000013
Brassica,CO_348,CO_348:2000013,CO_348:2000013,Beginning of pod maturity time (BBCH 81),,1,CO_348:1000014
Brassica,CO_348,CO_348:2000014,CO_348:2000014,Pod maturity time (BBCH 82-99),,1,CO_348:1000015
Brassica,CO_348,CO_348:2000015,CO_348:2000015,Plant stand at emergence,,1,CO_348:1000016
Brassica,CO_348,CO_348:2000016,CO_348:2000016,Seed erucic acid content,,1,CO_348:1000017
Brassica,CO_348,CO_348:2000017,CO_348:2000017,Seed palmitic acid content,,1,CO_348:1000018
Brassica,CO_348,CO_348:2000018,CO_348:2000018,Seed stearic acid content,,1,CO_348:1000019
Brassica,CO_348,CO_348:2000019,CO_348:2000019,Seed oleic acid content,,1,CO_348:1000020
Brassica,CO_348,CO_348:2000020,CO_348:2000020,Seed linoleic acid content,,1,CO_348:1000021
Brassica,CO_348,CO_348:2000021,CO_348:2000021,Seed linolenic acid content,,1,CO_348:1000022
Brassica,CO_348,CO_348:2000022,CO_348:2000022,Seed oil content,,1,CO_348:1000023
Brassica,CO_348,CO_348:2000023,CO_348:2000023,Seed protein content,,1,CO_348:1000024
