src,dst,rel,match_score,area_ha,producao_t,n_campos,safras
crop:c_14477,crop:c_8174,BROADER,,,,,
crop:c_9786,crop:c_8174,BROADER,,,,,
crop:c_3376,crop:c_8174,BROADER,,,,,
crop:c_12151,crop:c_3376,BROADER,,,,,
crop:c_779f4094,crop:c_12151,BROADER,,,,,
crop:c_934c0772,crop:c_12151,BROADER,,,,,
crop:c_53379b65,crop:c_12151,BROADER,,,,,
crop:c_10596,crop:c_3376,BROADER,,,,,
crop:c_1127,crop:c_3376,BROADER,,,,,
crop:c_1173,crop:c_3376,BROADER,,,,,
crop:c_4070,crop:c_3376,BROADER,,,,,
crop:c_1bd94c09,crop:c_4070,BROADER,,,,,
crop:c_9804,crop:c_3376,BROADER,,,,,
crop:c_14508,crop:c_3376,BROADER,,,,,
crop:c_15275,crop:c_3376,BROADER,,,,,
crop:c_331477,crop:c_3376,BROADER,,,,,
crop:c_7303,crop:c_3376,BROADER,,,,,
crop:c_b9d885f6,crop:c_3376,BROADER,,,,,
crop:c_c32f344d,crop:c_3376,BROADER,,,,,
crop:c_5f3deb25,crop:c_3376,BROADER,,,,,
crop:c_5c9e76bc,crop:c_3376,BROADER,,,,,
crop:c_3f9d5fa9,crop:c_3376,BROADER,,,,,
crop:c_bee45268,crop:c_3376,BROADER,,,,,
crop:c_d83a24a2,crop:c_3376,BROADER,,,,,
crop:c_7552,crop:c_8174,BROADER,,,,,
crop:c_3129,crop:c_8174,BROADER,,,,,
crop:c_7805,crop:c_3129,BROADER,,,,,
crop:c_36700,crop:c_7805,BROADER,,,,,
crop:c_8998,crop:c_3129,BROADER,,,,,
crop:c_12920,crop:c_3129,BROADER,,,,,
crop:c_14727,crop:c_3129,BROADER,,,,,
crop:c_2006,crop:c_8174,BROADER,,,,,
crop:c_10195,crop:c_2006,BROADER,,,,,
crop:c_11141,crop:c_10195,BROADER,,,,,
crop:c_37735,crop:c_2006,BROADER,,,,,
crop:c_8411,crop:c_37735,BROADER,,,,,
crop:c_6369,crop:c_37735,BROADER,,,,,
crop:c_12414,crop:c_37735,BROADER,,,,,
crop:c_35856,crop:c_37735,BROADER,,,,,
crop:c_1a58779c,crop:c_37735,BROADER,,,,,
crop:c_670,crop:c_8174,BROADER,,,,,
crop:c_3666,crop:c_8174,BROADER,,,,,
crop:c_4988,crop:c_8174,BROADER,,,,,
crop:c_8089,crop:c_8174,BROADER,,,,,
crop:c_8632,crop:c_8174,BROADER,,,,,
crop:c_9631,crop:c_8174,BROADER,,,,,
crop:c_9785,crop:c_8174,BROADER,,,,,
crop:c_12140,crop:c_8174,BROADER,,,,,
crop:c_13177,crop:c_8174,BROADER,,,,,
crop:c_10722,crop:c_8174,BROADER,,,,,
crop:c_331566,crop:c_8174,BROADER,,,,,
crop:c_4098,crop:c_331566,BROADER,,,,,
crop:c_f461a9d7,crop:c_4098,BROADER,,,,,
crop:c_04e08adc,crop:c_4098,BROADER,,,,,
crop:c_94046467,crop:c_331566,BROADER,,,,,
crop:c_801,crop:c_8174,BROADER,,,,,
crop:c_6647,crop:c_8174,BROADER,,,,,
crop:c_9649,crop:c_6647,BROADER,,,,,
crop:c_867,crop:c_6647,BROADER,,,,,
crop:c_1411,crop:c_6647,BROADER,,,,,
crop:c_8019,crop:c_6647,BROADER,,,,,
crop:c_14791,crop:c_6647,BROADER,,,,,
crop:c_6713,crop:c_6647,BROADER,,,,,
crop:c_8478,crop:c_6647,BROADER,,,,,
crop:c_8639,crop:c_8478,BROADER,,,,,
crop:c_b62580dc,crop:c_8478,BROADER,,,,,
crop:c_4ad84693,crop:c_8478,BROADER,,,,,
crop:c_68ded8bf,crop:c_8478,BROADER,,,,,
crop:c_f4f7b60f,crop:c_8478,BROADER,,,,,
crop:c_54e79c40,crop:c_8478,BROADER,,,,,
crop:c_ac086db8,crop:c_8478,BROADER,,,,,
crop:c_6060d12c,crop:c_8478,BROADER,,,,,
crop:c_bd43049a,crop:c_8478,BROADER,,,,,
crop:c_33c5958f,crop:c_8478,BROADER,,,,,
crop:c_38c2b537,crop:c_8478,BROADER,,,,,
crop:c_2a17f2e0,crop:c_8478,BROADER,,,,,
crop:c_9640,crop:c_6647,BROADER,,,,,
crop:c_11903,crop:c_6647,BROADER,,,,,
crop:c_13122,crop:c_6647,BROADER,,,,,
crop:c_13551,crop:c_6647,BROADER,,,,,
crop:c_10081,crop:c_13551,BROADER,,,,,
crop:c_13735,crop:c_6647,BROADER,,,,,
crop:c_14055,crop:c_6647,BROADER,,,,,
crop:c_14729,crop:c_6647,BROADER,,,,,
crop:c_8c81ebbc,crop:c_14729,BROADER,,,,,
crop:c_11614,crop:c_6647,BROADER,,,,,
crop:c_0f628632,crop:c_6647,BROADER,,,,,
crop:c_1af96a53,crop:c_6647,BROADER,,,,,
crop:c_7f40dbdf,crop:c_6647,BROADER,,,,,
crop:c_d1c9cfce,crop:c_6647,BROADER,,,,,
crop:c_700f9441,crop:c_6647,BROADER,,,,,
crop:c_1143,crop:c_8174,BROADER,,,,,
crop:c_4040,crop:c_1143,BROADER,,,,,
crop:c_12128,crop:c_1143,BROADER,,,,,
crop:c_12934,crop:c_1143,BROADER,,,,,
crop:c_14233,crop:c_1143,BROADER,,,,,
crop:c_9813,crop:c_1143,BROADER,,,,,
crop:c_11091,crop:c_1143,BROADER,,,,,
crop:c_ffd65b9e,crop:c_1143,BROADER,,,,,
crop:c_2487,crop:c_8174,BROADER,,,,,
crop:c_221f3324,crop:c_2487,BROADER,,,,,
crop:c_7388,crop:c_8174,BROADER,,,,,
crop:c_1412,crop:c_7388,BROADER,,,,,
crop:c_4114,crop:c_7388,BROADER,,,,,
crop:c_11089,crop:c_7388,BROADER,,,,,
crop:c_5989,crop:c_8174,BROADER,,,,,
crop:c_9623,crop:c_8174,BROADER,,,,,
crop:c_11766,crop:c_8174,BROADER,,,,,
crop:c_11171,crop:c_11766,BROADER,,,,,
crop:c_1394,crop:c_11766,BROADER,,,,,
crop:c_7339,crop:c_11766,BROADER,,,,,
crop:c_15889,crop:c_8174,BROADER,,,,,
crop:c_17156,crop:c_8174,BROADER,,,,,
crop:c_28302,crop:c_8174,BROADER,,,,,
crop:c_32502,crop:c_8174,BROADER,,,,,
crop:c_330156,crop:c_8174,BROADER,,,,,
crop:c_10789,crop:c_8174,BROADER,,,,,
crop:c_87057e4f,crop:c_8174,BROADER,,,,,
