id,label,agrovoc_id,name_pt,name_en,name_es,uri,name,crop_family,ontology,name_sci,name_full,species,uf,country
crop:c_14477,Crop,c_14477,soja,soybeans,Soja,http://aims.fao.org/aos/agrovoc/c_14477,,,,,,,,
crop:c_9786,Crop,c_9786,chicória,chicory,Achicoria,http://aims.fao.org/aos/agrovoc/c_9786,,,,,,,,
crop:c_3376,Crop,c_3376,hortaliça de folha,leaf vegetables,Hortaliza de hoja,http://aims.fao.org/aos/agrovoc/c_3376,,,,,,,,
crop:c_12151,Crop,c_12151,alface,lettuces,Lechuga,http://aims.fao.org/aos/agrovoc/c_12151,,,,,,,,
crop:c_779f4094,Crop,c_779f4094,,head lettuce,Lechuga de cabeza,http://aims.fao.org/aos/agrovoc/c_779f4094,,,,,,,,
crop:c_934c0772,Crop,c_934c0772,,cos lettuce,Lechuga cos,http://aims.fao.org/aos/agrovoc/c_934c0772,,,,,,,,
crop:c_53379b65,Crop,c_53379b65,,leaf lettuce,Lechuga de hoja,http://aims.fao.org/aos/agrovoc/c_53379b65,,,,,,,,
crop:c_10596,Crop,c_10596,endívia,endives,Endibia,http://aims.fao.org/aos/agrovoc/c_10596,,,,,,,,
crop:c_1127,Crop,c_1127,couve-de-bruxelas,Brussels sprouts,Col de Bruselas,http://aims.fao.org/aos/agrovoc/c_1127,,,,,,,,
crop:c_1173,Crop,c_1173,couve-repolho,cabbages,Repollo,http://aims.fao.org/aos/agrovoc/c_1173,,,,,,,,
crop:c_4070,Crop,c_4070,couve,kales,Col,http://aims.fao.org/aos/agrovoc/c_4070,,,,,,,,
crop:c_1bd94c09,Crop,c_1bd94c09,,curled kitchen kale,Col crespa,http://aims.fao.org/aos/agrovoc/c_1bd94c09,,,,,,,,
crop:c_9804,Crop,c_9804,couve-chinesa,chinese cabbages,Col china,http://aims.fao.org/aos/agrovoc/c_9804,,,,,,,,
crop:c_14508,Crop,c_14508,espinafre,spinach,Espinaca,http://aims.fao.org/aos/agrovoc/c_14508,,,,,,,,
crop:c_15275,Crop,c_15275,agrião,watercress,Berro de agua,http://aims.fao.org/aos/agrovoc/c_15275,,,,,,,,
crop:c_331477,Crop,c_331477,taioba,taioba,Taioba,http://aims.fao.org/aos/agrovoc/c_331477,,,,,,,,
crop:c_7303,Crop,c_7303,beterraba folhosa,spinach beet,Remolacha de hoja,http://aims.fao.org/aos/agrovoc/c_7303,,,,,,,,
crop:c_b9d885f6,Crop,c_b9d885f6,,red cabbages,Col roja,http://aims.fao.org/aos/agrovoc/c_b9d885f6,,,,,,,,
crop:c_c32f344d,Crop,c_c32f344d,radicchio,radicchio,Radicchio,http://aims.fao.org/aos/agrovoc/c_c32f344d,,,,,,,,
crop:c_5f3deb25,Crop,c_5f3deb25,,Chinese kale,Brécol chino,http://aims.fao.org/aos/agrovoc/c_5f3deb25,,,,,,,,
crop:c_5c9e76bc,Crop,c_5c9e76bc,Rúcula,rocket,Rúcula,http://aims.fao.org/aos/agrovoc/c_5c9e76bc,,,,,,,,
crop:c_3f9d5fa9,Crop,c_3f9d5fa9,,microgreens,Microverde,http://aims.fao.org/aos/agrovoc/c_3f9d5fa9,,,,,,,,
crop:c_bee45268,Crop,c_bee45268,canónigos,lamb's lettuce,Hierba del canónigo,http://aims.fao.org/aos/agrovoc/c_bee45268,,,,,,,,
crop:c_d83a24a2,Crop,c_d83a24a2,,amaranth leaves,Hoja de amaranto,http://aims.fao.org/aos/agrovoc/c_d83a24a2,,,,,,,,
crop:c_7552,Crop,c_7552,milho doce,sweet corn,Maíz dulce,http://aims.fao.org/aos/agrovoc/c_7552,,,,,,,,
crop:c_3129,Crop,c_3129,fruto hortícola,fruit vegetables,Hortaliza de fruto,http://aims.fao.org/aos/agrovoc/c_3129,,,,,,,,
crop:c_7805,Crop,c_7805,tomate,tomatoes,Tomate,http://aims.fao.org/aos/agrovoc/c_7805,,,,,,,,
crop:c_36700,Crop,c_36700,tomate cereja,cherry tomatoes,Tomate cherry,http://aims.fao.org/aos/agrovoc/c_36700,,,,,,,,
crop:c_8998,Crop,c_8998,beringela,eggplants,Berenjena,http://aims.fao.org/aos/agrovoc/c_8998,,,,,,,,
