binomial,especie_full,cultivar,uf,area_ha,producao_t,producao_bruta_t,n_campos,safras
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,AF 119,MG,35.67,23.05,6128.344,3,3
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,AF 119,PI,2.5,2.5,0.0,3,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,AF 119,SP,97.65,73.6,4640.0,12,9
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,AF631,MG,0.17,0.017,0.231,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Amarelinho,RS,2.0,1.0,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Apuim,MG,17.0,14.3,9.044,12,4
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Apuim,RS,4.2,2.14,1.6989999999999998,5,3
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Clemson Americano,RS,3.0,1.4,1.606,3,2
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Colhe Bem,MG,33.0,33.0,78929.655,4,3
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Colhe Bem,SP,163.5,163.5,4323.413,22,11
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Coronel,MG,1.33,1.35,0.0,2,2
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Coronel,SP,0.95,0.95,0.042,4,2
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,HT 209,MG,1.0,1.0,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,HT 209,SP,1.05,1.05,0.084,5,3
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,IAC Midori,BA,15.79,16.2,0.0,10,8
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,IAC Midori,MG,4.0,4.0,0.0,2,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,IAC Midori,PE,1.013,1.2129999999999999,0.0,2,2
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,IMPERADOR,BA,0.5,0.35,0.0,2,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,IMPERADOR,RS,0.5,0.05,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,IS 217,RS,0.8,0.32,0.01,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Martin,MG,0.15,0.05,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Martin,SP,0.08,0.05,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz,MG,163.95,167.497,7178.9962000000005,52,13
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz,RS,3.8000000000000003,2.5,0.0,24,3
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz,SP,92.345,82.428,868.5555,21,12
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz 47,BA,140.25,142.15,11.078000000000001,22,12
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz 47,GO,35.7,11.98,0.0,7,7
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz 47,MG,1015.13,23709.356,5014.5011,262,26
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz 47,PE,6.5,6.3,0.0,4,3
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz 47,PI,108.5,127.98,0.0,17,6
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz 47,RS,659.085,463.513,204.479,347,22
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz 47,SE,5.5,8.5,0.0,5,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Santa Cruz 47,SP,319.116,302.7181,9912.027,37,14
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Speedy,MG,0.51,0.32999999999999996,0.0,2,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Tropical,RS,5.9,5.1,0.0,5,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,UFU MC Erasmo,MG,0.403,0.144,0.0,2,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,UFU MC QB3 Antony,MG,0.057,0.024,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,UFU MC QB4 Brutus,MG,5.16,1.9140000000000001,0.9753999999999999,8,6
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,UFU MC QB4 Brutus,SP,0.132,0.05,0.0,2,2
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,UFU MC QB5 Veloster,MG,0.123,0.024,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,UFU MC Ravi,MG,0.072,0.024,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,VOK 501,MG,5.88,4.4399999999999995,0.0,14,7
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,VOK 501,PI,0.1,0.05,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,VOK 501,SP,0.03,0.01,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,ValenÃ§a,MG,50.14,60.94,3408.975,30,11
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,ValenÃ§a,RS,0.2,0.05,0.0,1,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,ValenÃ§a,SP,0.491,0.1601,0.044,3,3
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Veloce,RS,0.2,0.1,0.0,2,1
abelmoschus esculentus,Abelmoschus esculentus (L.) Moench = Hibiscus esculentus L.,Veloce,SP,0.2,0.3,0.0,2,1
allium cepa,Allium cepa L.,ABSOLUT,RS,7.0,31.9,27.8,3,3
allium cepa,Allium cepa L.,ABSOLUT,SC,3.0,105.0,100.0,4,4
allium cepa,Allium cepa L.,AF 3696,RS,0.002,0.002,0.0,1,1
allium cepa,Allium cepa L.,AF3838,RS,0.002,0.002,0.0,1,1
allium cepa,Allium cepa L.,AF4989,MG,0.24,16.0,0.0,3,1
allium cepa,Allium cepa L.,AF4989,SP,0.175,0.0675,0.0,6,2
allium cepa,Allium cepa L.,Agroney,RS,0.5,2.0,0.0,1,1
allium cepa,Allium cepa L.,Alfa Tropical,MG,1.0,1.2,0.0,1,1
allium cepa,Allium cepa L.,Alvorada,RS,36.160000000000004,15.617,14.231,19,9
allium cepa,Allium cepa L.,Alvorada,SC,26.584,989.5804,551.3385,41,19
allium cepa,Allium cepa L.,Athena,RS,6.71,24.2002,0.0,7,4
allium cepa,Allium cepa L.,BELASUL,RS,6.6,46.36,1.7000000000000002,4,4
allium cepa,Allium cepa L.,BELASUL,SC,1.0,30.0,30.0,1,1
allium cepa,Allium cepa L.,BR 25,GO,0.11,0.55,0.0,2,2
allium cepa,Allium cepa L.,BR 29 (crioula),GO,0.1,0.05,0.0,1,1
allium cepa,Allium cepa L.,BRS Alfa SÃ£o Francisco,BA,15.77,162.215,2.27,15,9
allium cepa,Allium cepa L.,BRS Alfa SÃ£o Francisco,PE,3.467,41.555,0.0,8,6
allium cepa,Allium cepa L.,BRS Alfa SÃ£o Francisco,RS,0.1,0.1,0.026,1,1
allium cepa,Allium cepa L.,BRS Alfa SÃ£o Francisco,SE,1.4,0.8,0.0,2,1
allium cepa,Allium cepa L.,BRS Carrancas,BA,0.1,9.6,1.9,1,1
allium cepa,Allium cepa L.,BRS Carrancas,PE,0.08399999999999999,0.039,0.0,3,3
allium cepa,Allium cepa L.,BRS Cascata,RS,0.004,0.0013,0.0,1,1
allium cepa,Allium cepa L.,BRS Cascata,SC,0.062,0.9096000000000001,0.0,2,2
allium cepa,Allium cepa L.,BRS Prima,RS,3.616,10.4916,2.12,14,12
allium cepa,Allium cepa L.,BRS Prima,SC,4.1837,120.92410000000001,75.0015,9,5
allium cepa,Allium cepa L.,BRS Riovale,BA,0.12,9.6,2.2,1,1
allium cepa,Allium cepa L.,BRS Riovale,PE,0.095,0.051000000000000004,0.0,3,3
allium cepa,Allium cepa L.,BRS Sustentare,DF,0.002,0.001,0.0,1,1
allium cepa,Allium cepa L.,Baia Herval,RS,17.6,75.22,35.8775,11,9
allium cepa,Allium cepa L.,Baia Periforme,GO,0.01,0.5,0.0,1,1
allium cepa,Allium cepa L.,Baia Periforme,RS,37.831,121.2137,2.3893999999999997,29,14
allium cepa,Allium cepa L.,Baia Periforme,SC,2.5,65.0,0.0,3,3
allium cepa,Allium cepa L.,Baia Periforme Crioula,RS,1.1,0.362,375.0,2,2
allium cepa,Allium cepa L.,Baia Periforme Crioula,SC,2.0,15.0,0.0,1,1
allium cepa,Allium cepa L.,Baia Periforme Crioula,SP,2.0,2.0,0.0,1,1
allium cepa,Allium cepa L.,Baia Periforme Precoce,RS,6.0,1.75,0.0,2,2
allium cepa,Allium cepa L.,Baia Super Precoce,SP,0.03,0.015,0.0,1,1
allium cepa,Allium cepa L.,Bella Catarina,MG,0.09000000000000001,0.08600000000000001,0.07,2,1
allium cepa,Allium cepa L.,Bella Dura,MG,0.219,100.05,177.56,5,3
allium cepa,Allium cepa L.,Bella Dura,RS,3.0,1.5,0.0,1,1
allium cepa,Allium cepa L.,Bella Dura,SP,1.15,0.21400000000000002,0.0116,5,3
allium cepa,Allium cepa L.,Bola Suprema,GO,0.001,0.015,0.0,1,1
allium cepa,Allium cepa L.,Bola Suprema,PR,1.5,1.5,0.0,1,1
allium cepa,Allium cepa L.,Bola Suprema,RS,20.65,67.51,0.0,14,5
allium cepa,Allium cepa L.,Bola Suprema,SC,11.0,240.0,0.0,8,7
allium cepa,Allium cepa L.,Bola de Ouro,MG,0.095,51.6,59.74,3,3
allium cepa,Allium cepa L.,Bola de Ouro,RS,1.5,0.35,0.02,2,2
allium cepa,Allium cepa L.,Bola de Ouro,SP,0.5475,3.7136,0.0026,9,7
allium cepa,Allium cepa L.,Boreal,RS,9.15,18.514,520.735,7,5
allium cepa,Allium cepa L.,Boreal,SC,3.5,39.0,0.0,3,3
allium cepa,Allium cepa L.,Boreal,SP,0.14900000000000002,0.5238,0.0388,4,4
allium cepa,Allium cepa L.,Brasa Crioula,SC,0.5,15000.0,3.0,1,1
allium cepa,Allium cepa L.,BrasÃ­lia,RS,0.13,0.114,0.13,3,3
allium cepa,Allium cepa L.,BrasÃ­lia,SC,0.124,5.0604000000000005,1.0369,7,7
allium cepa,Allium cepa L.,BrisaverÃ£o IPA 13,BA,3.1,21.245,0.0,3,2
allium cepa,Allium cepa L.,BrisaverÃ£o IPA 13,PE,8.0133,155.501,69.7452,16,9
allium cepa,Allium cepa L.,CAMPERA,RS,30.5,265.865,163.75,17,17
allium cepa,Allium cepa L.,CAMPERA,SC,4.5,135.0,85.0,5,5
